애경산업,27300,27200,27650,27100,63121,28600
NICE,19450,19700,19800,19150,44200,19900
동아에스티,87900,85300,88500,85300,13874,88800
KODEX MSCI Korea TR,8160,8125,8180,7990,467770,8190
다우기술,15550,15450,15750,15400,117654,15850
화승엔터프라이즈,12050,11800,12150,11600,400681,11700
SK가스,76500,77400,77400,76000,11581,76400
아주캐피탈,12000,12050,12100,11900,71030,12150
휴켐스,16400,15850,16500,15850,100531,16950
아모레퍼시픽우,61900,62100,62500,61700,18154,64000
두산,37600,36850,37900,36850,75971,40650
미래에셋생명,3560,3585,3620,3515,88663,3650
한전기술,16950,16650,17100,16500,112299,16900
대덕전자,8210,8190,8270,8100,1176262,8210
ARIRANG 200,26020,25580,26125,25550,153855,25790
에스엘,12500,12000,12500,12000,78888,13050
쿠쿠홀딩스,87000,83400,87500,83400,4976,88100
일양약품,33900,32900,37500,32850,1469320,32800
QV 코스피 변동성 매칭형 양매도 ETN,8940,8940,8940,8940,0,8940
빙그레,63900,61000,63900,60200,134916,63400
후성,6730,6630,6740,6610,475480,6700
SPC삼립,71400,70200,73600,70200,22975,71200
JW중외제약,29800,29650,29950,29300,141426,29150
풍산,21350,21800,22250,21050,473627,21600
한섬,24650,22550,25350,22500,195351,24500
락앤락,10950,10750,11150,10750,162781,11100
하나투어,40800,40350,40950,40250,76730,42700
TIGER MSCI Korea TR,10245,10085,10275,10085,78050,10295
제이콘텐트리,35000,34000,35350,34000,160415,35450
보령제약,12850,13100,13100,12650,544800,12950
LIG넥스원,25700,25750,26100,24650,409271,26000
종근당홀딩스,116500,115500,117500,115000,20139,114000
CJ CGV,25300,24700,25500,24450,350327,26900
한진,48200,49100,50100,45100,231805,47400
KINDEX 200,26095,25675,26195,25630,672900,25630
롯데하이마트,23850,22000,24200,22000,266791,23900
동원시스템즈,22300,20950,22350,20950,62816,21850
넥센타이어,5660,5590,5710,5540,314306,5700
에이프로젠 KIC,3915,3915,3915,3645,19493623,3595
영원무역홀딩스,38100,36650,39100,36450,6256,40600
롯데정보통신,33400,32400,34150,32200,60828,35800
대한전선,646,650,652,642,885915,639
한진중공업,6740,6600,6840,6400,1034380,6530
효성티앤씨,125000,125000,127500,124000,11104,125000
씨에스윈드,31350,30000,31900,29450,64488,31100
남선알미늄,4585,4560,4665,4545,6936776,4875
HDC,8980,8850,9050,8830,166042,8990
한일현대시멘트,31950,32500,33850,31450,116238,31750
동아쏘시오홀딩스,87800,86200,88400,86200,5529,87000
S&T모티브,34900,35000,35650,34700,49146,34750
LG상사,12750,12700,12900,12550,172717,13000
에이프로젠제약,2300,2185,2300,2080,64877086,2065
한세실업,11900,11000,12250,10850,342570,12450
삼화콘덴서,47950,47400,47950,47150,91593,47300
KOSEF 200,26240,25770,26330,25770,42445,25800
KODEX Top5PlusTR,11735,11450,11795,11450,17025,11815
롯데손해보험,1445,1425,1455,1415,359503,1545
동양생명,2975,2915,3010,2900,135663,2970
유안타증권,2395,2350,2445,2330,452808,2400
디피씨,8700,8860,8950,8530,11646860,11300
대신증권,9280,9100,9330,9080,159925,9270
SK디스커버리,25000,24850,25450,24050,123010,24650
삼성 코스피 양매도 5% OTM ETN,9340,9340,9340,9340,0,9345
필룩스,5590,5600,5820,5540,2945748,5380
풀무원,12600,12900,13200,12450,347605,12200
LG하우시스,49900,48400,51100,47150,240564,51100
현대에이치씨엔,4060,4130,4130,4030,159267,4050
KODEX 코스닥 150,10115,9990,10165,9970,2430911,9945
BGF,4695,4560,4720,4560,495730,4765
경동나비엔,35700,35100,35850,35100,33124,35750
KODEX 코스닥150선물인버스,7225,7335,7350,7205,29452263,7260
한국토지신탁,1740,1745,1760,1735,630121,1790
이월드,4460,4580,4585,4415,4565359,4570
대한해운,18700,18150,18700,17850,106345,18300
화승인더,7810,7580,7810,7500,1086025,7910
SK디앤디,23000,22900,23400,22800,53145,23000
롯데푸드,374500,358500,375500,357000,2734,385000
삼양홀딩스,50000,48250,50300,48250,19598,50200
지역난방공사,35250,35850,35850,34550,14146,37050
KODEX 코스피,19705,19450,19715,19360,61179,19435
신영증권,44350,44350,44950,44350,7102,44700
삼성화재우,129000,127500,131500,126500,17570,130500
두산퓨얼셀,7460,7370,7590,7350,656757,7500
드림텍,7130,6620,7380,6560,9194609,6710
덴티움,37000,37600,37600,36500,58265,36950
